,Time,V Pop,H Pop,Curr Win %,LS Win %,Last Game,Last Attendance vs Opp,Capacity,Playoffs?,Last Five,Attendance,Home_Atlanta Hawks,Home_Boston Celtics,Home_Brooklyn Nets,Home_Charlotte Hornets,Home_Chicago Bulls,Home_Cleveland Cavaliers,Home_Dallas Mavericks,Home_Denver Nuggets,Home_Detroit Pistons,Home_Golden State Warriors,Home_Houston Rockets,Home_Indiana Pacers,Home_Los Angeles Clippers,Home_Los Angeles Lakers,Home_Memphis Grizzlies,Home_Miami Heat,Home_Milwaukee Bucks,Home_Minnesota Timberwolves,Home_New Orleans Pelicans,Home_New York Knicks,Home_Oklahoma City Thunder,Home_Orlando Magic,Home_Philadelphia 76ers,Home_Phoenix Suns,Home_Portland Trail Blazers,Home_Sacramento Kings,Home_San Antonio Spurs,Home_Toronto Raptors,Home_Utah Jazz,Home_Washington Wizards,Visitor_Atlanta Hawks,Visitor_Boston Celtics,Visitor_Brooklyn Nets,Visitor_Charlotte Hornets,Visitor_Chicago Bulls,Visitor_Cleveland Cavaliers,Visitor_Dallas Mavericks,Visitor_Denver Nuggets,Visitor_Detroit Pistons,Visitor_Golden State Warriors,Visitor_Houston Rockets,Visitor_Indiana Pacers,Visitor_Los Angeles Clippers,Visitor_Los Angeles Lakers,Visitor_Memphis Grizzlies,Visitor_Miami Heat,Visitor_Milwaukee Bucks,Visitor_Minnesota Timberwolves,Visitor_New Orleans Pelicans,Visitor_New York Knicks,Visitor_Oklahoma City Thunder,Visitor_Orlando Magic,Visitor_Philadelphia 76ers,Visitor_Phoenix Suns,Visitor_Portland Trail Blazers,Visitor_Sacramento Kings,Visitor_San Antonio Spurs,Visitor_Toronto Raptors,Visitor_Utah Jazz,Visitor_Washington Wizards,Day of Week_Friday,Day of Week_Monday,Day of Week_Saturday,Day of Week_Sunday,Day of Week_Thursday,Day of Week_Tuesday,Day of Week_Wednesday,Month_April,Month_December,Month_February,Month_January,Month_June,Month_March,Month_May,Month_November,Month_October,Year
25,2004-01-07 19:00:00,2.0,5.0,0.5172413793103449,0.3333333333333333,19029.0,19800.0,20116.0,0.0,4.0,19874.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2004
26,2004-01-07 19:00:00,19.0,9.0,0.25,0.5569620253164557,13015.0,18624.0,18624.0,0.0,0.0,13286.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2004
27,2004-01-07 19:00:00,1.0,8.0,0.4705882352941176,0.569620253164557,18337.0,20622.0,20965.0,0.0,2.0,18622.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2004
28,2004-01-07 19:30:00,17.0,2.0,0.3939393939393939,0.3380281690140845,14453.0,20078.0,20213.0,0.0,3.0,14413.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2004
29,2004-01-07 21:00:00,3.0,5.0,0.4375,0.7173913043478259,19936.0,15140.0,20677.0,0.0,0.0,20185.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2004
30,2004-01-07 21:00:00,5.0,4.0,0.7,0.527027027027027,15120.0,19521.0,19812.0,0.0,1.0,19739.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2004
31,2004-01-08 21:30:00,2.0,2.0,0.4642857142857143,0.625,20095.0,17345.0,20391.0,0.0,1.0,15599.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2004
32,2004-01-09 19:00:00,1.0,5.0,0.5,0.3333333333333333,19874.0,19800.0,20116.0,0.0,4.0,18405.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2004
33,2004-01-09 19:30:00,2.0,9.0,0.30303030303030304,0.5569620253164557,13286.0,18624.0,18624.0,0.0,2.0,18624.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2004
34,2004-01-09 20:00:00,4.0,5.0,0.71875,0.7173913043478259,20185.0,17502.0,20677.0,0.0,5.0,20315.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2004
