Time,V Pop,H Pop,Curr Win %,LS Win %,Last Game,Last Attendance vs Opp,Capacity,Visitor,Playoffs?,Last Five,Day of Week,Month,Rivalry?,Attendance
1992-01-14 00:00:00,2.0,4.0,0.5882352941176471,0.6172839506172839,19911.0,19911.0,19911.0,Minnesota Timberwolves,0.0,2.0,Tuesday,January,0.0,19911.0
1992-01-16 00:00:00,5.0,4.0,0.6,0.6172839506172839,19911.0,19547.0,19911.0,Atlanta Hawks,0.0,2.0,Thursday,January,0.0,19911.0
1992-01-16 00:00:00,4.0,2.0,0.5806451612903226,0.33783783783783783,19006.0,14007.0,19006.0,San Antonio Spurs,0.0,4.0,Thursday,January,0.0,18674.0
1992-01-18 00:00:00,8.0,4.0,0.6111111111111112,0.6172839506172839,19911.0,19784.0,19911.0,Houston Rockets,0.0,3.0,Saturday,January,1.0,19911.0
1992-01-22 00:00:00,4.0,4.0,0.6216216216216216,0.6172839506172839,19911.0,17538.0,19911.0,San Antonio Spurs,0.0,4.0,Wednesday,January,0.0,19911.0
1992-01-23 00:00:00,3.0,2.0,0.2,0.33783783783783783,18674.0,13288.0,19006.0,Detroit Pistons,0.0,0.0,Thursday,January,0.0,18807.0
1992-01-27 00:00:00,4.0,4.0,0.5897435897435898,0.6172839506172839,19911.0,18107.0,19911.0,New York Knicks,0.0,3.0,Monday,January,0.0,19911.0
1992-01-29 00:00:00,7.0,4.0,0.6,0.6172839506172839,19911.0,19911.0,19911.0,Sacramento Kings,0.0,3.0,Wednesday,January,0.0,19911.0
1992-01-31 00:00:00,13.0,4.0,0.6097560975609756,0.6172839506172839,19911.0,17766.0,19911.0,Phoenix Suns,0.0,3.0,Friday,January,0.0,19911.0
1992-02-03 00:00:00,16.0,4.0,0.627906976744186,0.6172839506172839,19911.0,16463.0,19911.0,Chicago Bulls,0.0,4.0,Monday,February,0.0,19911.0
1992-02-03 00:00:00,3.0,2.0,0.2,0.33783783783783783,18807.0,15115.0,19006.0,Denver Nuggets,0.0,1.0,Monday,February,0.0,18434.0
1992-02-05 00:00:00,25.0,2.0,0.2,0.33783783783783783,18434.0,17119.0,19006.0,Orlando Magic,0.0,2.0,Wednesday,February,0.0,18408.0
1992-02-11 00:00:00,2.0,4.0,0.6222222222222222,0.6172839506172839,19911.0,19911.0,19911.0,Cleveland Cavaliers,0.0,4.0,Tuesday,February,0.0,19911.0
1992-02-11 00:00:00,5.0,2.0,0.19047619047619047,0.33783783783783783,18408.0,18173.0,19006.0,Los Angeles Lakers,0.0,1.0,Tuesday,February,0.0,19006.0
1992-02-13 00:00:00,5.0,4.0,0.6304347826086957,0.6172839506172839,19911.0,19911.0,19911.0,Los Angeles Lakers,0.0,4.0,Thursday,February,0.0,19911.0
1992-02-15 00:00:00,3.0,2.0,0.20454545454545456,0.33783783783783783,19006.0,15209.0,19006.0,Indiana Pacers,0.0,2.0,Saturday,February,0.0,19006.0
1992-02-15 00:00:00,3.0,4.0,0.6382978723404256,0.6172839506172839,19911.0,19911.0,19911.0,Denver Nuggets,0.0,4.0,Saturday,February,0.0,19911.0
1992-02-17 00:00:00,10.0,4.0,0.6458333333333334,0.6172839506172839,19911.0,19911.0,19911.0,Boston Celtics,0.0,4.0,Monday,February,0.0,19911.0
1992-02-19 00:00:00,5.0,4.0,0.6530612244897959,0.6172839506172839,19911.0,19911.0,19911.0,Dallas Mavericks,0.0,5.0,Wednesday,February,0.0,19911.0
1992-02-21 00:00:00,10.0,4.0,0.66,0.6172839506172839,19911.0,19267.0,19911.0,Houston Rockets,0.0,5.0,Friday,February,1.0,19911.0
1992-02-26 00:00:00,5.0,2.0,0.22448979591836726,0.33783783783783783,19006.0,13677.0,19006.0,Dallas Mavericks,0.0,2.0,Wednesday,February,0.0,18173.0
1992-03-03 00:00:00,4.0,2.0,0.6153846153846154,0.33783783783783783,18173.0,16111.0,19006.0,San Antonio Spurs,0.0,4.0,Tuesday,March,0.0,18707.0
1992-03-04 00:00:00,4.0,3.0,0.6545454545454545,0.6172839506172839,19911.0,17774.0,19911.0,San Antonio Spurs,0.0,3.0,Wednesday,March,0.0,19911.0
1992-03-05 00:00:00,11.0,2.0,0.21153846153846154,0.33783783783783783,18707.0,13737.0,19006.0,Chicago Bulls,0.0,1.0,Thursday,March,0.0,19006.0
1992-03-11 00:00:00,2.0,2.0,0.7090909090909091,0.33783783783783783,19006.0,14363.0,19006.0,Portland Trail Blazers,0.0,5.0,Wednesday,March,0.0,18479.0
1992-03-15 00:00:00,9.0,2.0,0.6271186440677966,0.33783783783783783,18479.0,16117.0,19006.0,Phoenix Suns,0.0,3.0,Sunday,March,0.0,19006.0
1992-03-19 00:00:00,3.0,3.0,0.65,0.6172839506172839,19911.0,19029.0,19911.0,Denver Nuggets,0.0,3.0,Thursday,March,0.0,19911.0
1992-03-21 00:00:00,2.0,3.0,0.6557377049180327,0.6172839506172839,19911.0,19282.0,19911.0,Portland Trail Blazers,0.0,3.0,Saturday,March,0.0,19911.0
1992-03-23 00:00:00,3.0,2.0,0.18032786885245905,0.33783783783783783,19006.0,9625.0,19006.0,Denver Nuggets,0.0,0.0,Monday,March,0.0,19006.0
1992-03-25 00:00:00,1.0,2.0,0.1774193548387097,0.33783783783783783,19006.0,15948.0,19006.0,Miami Heat,0.0,0.0,Wednesday,March,0.0,18818.0
1992-03-25 00:00:00,7.0,3.0,0.6612903225806451,0.6172839506172839,19911.0,19911.0,19911.0,Philadelphia 76ers,0.0,3.0,Wednesday,March,0.0,19911.0
1992-03-27 00:00:00,6.0,3.0,0.6507936507936508,0.6172839506172839,19911.0,18306.0,19911.0,Los Angeles Lakers,0.0,3.0,Friday,March,0.0,19911.0
1992-03-27 00:00:00,4.0,2.0,0.1746031746031746,0.33783783783783783,18818.0,16837.0,19006.0,Atlanta Hawks,0.0,0.0,Friday,March,0.0,19006.0
1992-03-29 00:00:00,7.0,2.0,0.3076923076923077,0.33783783783783783,19006.0,13094.0,19006.0,Sacramento Kings,0.0,4.0,Sunday,March,0.0,19006.0
