Time,Attendance,Playoffs?,Last Five,Curr Win %,Day of Week,Month,Rivalry?,LS Win %,Last Game,Last Attendance vs Opp,Capacity
1992-04-17 00:00:00,19911.0,0.0,5.0,0.6712328767123288,Friday,April,0.0,0.6172839506172839,19911.0,19911.0,18306.0
1992-04-19 00:00:00,19006.0,0.0,1.0,0.20270270270270271,Sunday,April,0.0,0.33783783783783783,18410.0,19006.0,18978.0
1992-04-24 00:00:00,19911.0,1.0,5.0,0.68,Friday,April,0.0,0.6172839506172839,19911.0,19911.0,18306.0
1992-04-26 00:00:00,19911.0,1.0,5.0,0.6842105263157895,Sunday,April,0.0,0.6172839506172839,19911.0,19911.0,18306.0
1992-05-04 00:00:00,19911.0,1.0,4.0,0.6794871794871795,Monday,May,0.0,0.6172839506172839,19911.0,19602.0,18306.0
1992-05-22 00:00:00,19911.0,1.0,2.0,0.6666666666666666,Friday,May,0.0,0.6172839506172839,19911.0,19911.0,18306.0
1992-05-24 00:00:00,19911.0,1.0,3.0,0.6707317073170732,Sunday,May,0.0,0.6172839506172839,19911.0,19911.0,18306.0
1992-05-28 00:00:00,19911.0,1.0,2.0,0.6547619047619048,Thursday,May,0.0,0.6172839506172839,19911.0,19911.0,18306.0
1992-11-06 00:00:00,19911.0,0.0,0.0,0.0,Friday,November,0.0,0.6547619047619048,19911.0,19911.0,18306.0
1992-11-07 00:00:00,19006.0,0.0,0.0,0.0,Saturday,November,0.0,0.20270270270270271,19006.0,19006.0,18978.0
1992-11-10 00:00:00,18202.0,0.0,1.0,0.3333333333333333,Tuesday,November,0.0,0.20270270270270271,19006.0,18503.0,18978.0
1992-11-12 00:00:00,19911.0,0.0,2.0,0.5,Thursday,November,0.0,0.6547619047619048,19911.0,19371.0,18306.0
1992-11-14 00:00:00,19911.0,0.0,3.0,0.6,Saturday,November,0.0,0.6547619047619048,19911.0,19637.0,18306.0
1992-11-14 00:00:00,19006.0,0.0,3.0,0.75,Saturday,November,0.0,0.20270270270270271,18202.0,19006.0,18978.0
1992-11-17 00:00:00,19006.0,0.0,1.0,0.2,Tuesday,November,0.0,0.20270270270270271,19006.0,18174.0,18978.0
1992-11-18 00:00:00,19023.0,0.0,2.0,0.5714285714285714,Wednesday,November,0.0,0.6913580246913579,19023.0,19023.0,18055.0
1992-11-22 00:00:00,19023.0,0.0,3.0,0.5714285714285714,Sunday,November,0.0,0.6913580246913579,19023.0,19023.0,18055.0
1992-11-25 00:00:00,19023.0,0.0,4.0,0.8888888888888888,Wednesday,November,0.0,0.6913580246913579,19023.0,19023.0,18055.0
1992-11-25 00:00:00,19911.0,0.0,3.0,0.625,Wednesday,November,0.0,0.6547619047619048,19911.0,19067.0,18306.0
1992-11-25 00:00:00,18063.0,0.0,3.0,0.7142857142857143,Wednesday,November,0.0,0.20270270270270271,19006.0,18161.0,18978.0
1992-11-27 00:00:00,19023.0,0.0,3.0,0.6666666666666666,Friday,November,0.0,0.6913580246913579,19023.0,19023.0,18055.0
1992-11-28 00:00:00,19006.0,0.0,1.0,0.25,Saturday,November,0.0,0.20270270270270271,18063.0,14377.0,18978.0
1992-12-01 00:00:00,19023.0,0.0,3.0,0.6363636363636364,Tuesday,December,0.0,0.6913580246913579,19023.0,19023.0,18055.0
1992-12-01 00:00:00,19452.0,0.0,4.0,0.7,Tuesday,December,0.0,0.6547619047619048,19911.0,19911.0,18306.0
1992-12-03 00:00:00,19911.0,0.0,4.0,0.7272727272727273,Thursday,December,0.0,0.6547619047619048,19452.0,19381.0,18306.0
1992-12-04 00:00:00,19023.0,0.0,4.0,0.6666666666666666,Friday,December,0.0,0.6913580246913579,19023.0,19023.0,18055.0
1992-12-05 00:00:00,19911.0,0.0,4.0,0.75,Saturday,December,0.0,0.6547619047619048,19911.0,18479.0,18306.0
1992-12-12 00:00:00,19911.0,0.0,4.0,0.7142857142857143,Saturday,December,0.0,0.6547619047619048,19911.0,16322.0,18306.0
1992-12-12 00:00:00,19006.0,0.0,1.0,0.2307692307692308,Saturday,December,0.0,0.20270270270270271,19006.0,15117.0,18978.0
1992-12-15 00:00:00,19006.0,0.0,1.0,0.21428571428571427,Tuesday,December,0.0,0.20270270270270271,19006.0,13108.0,18978.0
1992-12-22 00:00:00,19023.0,0.0,5.0,0.7777777777777778,Tuesday,December,0.0,0.6913580246913579,19023.0,19023.0,18055.0
1992-12-23 00:00:00,18091.0,0.0,2.0,0.3684210526315789,Wednesday,December,0.0,0.20270270270270271,19006.0,17097.0,18978.0
1992-12-26 00:00:00,19911.0,0.0,3.0,0.7,Saturday,December,0.0,0.6547619047619048,19911.0,19911.0,18306.0
1992-12-26 00:00:00,18502.0,0.0,0.0,0.16666666666666666,Saturday,December,0.0,0.20270270270270271,18091.0,18774.0,18978.0
1992-12-27 00:00:00,19023.0,0.0,5.0,0.8,Sunday,December,0.0,0.6913580246913579,19023.0,19023.0,18055.0
1992-12-28 00:00:00,19911.0,0.0,3.0,0.7142857142857143,Monday,December,0.0,0.6547619047619048,19911.0,19911.0,18306.0
1992-12-30 00:00:00,19023.0,0.0,5.0,0.8095238095238095,Wednesday,December,0.0,0.6913580246913579,19023.0,19023.0,18055.0
1992-12-30 00:00:00,19911.0,0.0,4.0,0.7272727272727273,Wednesday,December,0.0,0.6547619047619048,19911.0,19521.0,18306.0
1993-01-02 00:00:00,18106.0,0.0,1.0,0.2,Saturday,January,0.0,0.20270270270270271,18502.0,18899.0,18978.0
1993-01-05 00:00:00,19911.0,0.0,5.0,0.75,Tuesday,January,0.0,0.6547619047619048,19911.0,19911.0,18306.0
1993-01-06 00:00:00,18494.0,0.0,1.0,0.18181818181818185,Wednesday,January,0.0,0.20270270270270271,18106.0,16771.0,18978.0
1993-01-12 00:00:00,19911.0,0.0,3.0,0.7142857142857143,Tuesday,January,0.0,0.6547619047619048,19911.0,19911.0,18306.0
1993-01-13 00:00:00,17852.0,0.0,4.0,0.6206896551724138,Wednesday,January,0.0,0.20270270270270271,18494.0,16771.0,18978.0
1993-01-15 00:00:00,19023.0,0.0,4.0,0.8076923076923077,Friday,January,0.0,0.6913580246913579,19023.0,19023.0,18055.0
1993-01-15 00:00:00,18777.0,0.0,1.0,0.2,Friday,January,0.0,0.20270270270270271,17852.0,20003.0,18978.0
1993-01-16 00:00:00,19911.0,0.0,3.0,0.7241379310344828,Saturday,January,0.0,0.6547619047619048,19911.0,19911.0,18306.0
1993-01-18 00:00:00,17879.0,0.0,1.0,0.19230769230769232,Monday,January,0.0,0.20270270270270271,18777.0,19006.0,18978.0
1993-01-20 00:00:00,18149.0,0.0,4.0,0.71875,Wednesday,January,0.0,0.20270270270270271,17879.0,19677.0,18978.0
1993-01-22 00:00:00,19911.0,0.0,3.0,0.7096774193548387,Friday,January,0.0,0.6547619047619048,19911.0,19911.0,18306.0
1993-01-24 00:00:00,19911.0,0.0,3.0,0.6875,Sunday,January,0.0,0.6547619047619048,19911.0,18306.0,18306.0
1993-01-26 00:00:00,19911.0,0.0,3.0,0.696969696969697,Tuesday,January,0.0,0.6547619047619048,19911.0,18306.0,18306.0
1993-01-27 00:00:00,18503.0,0.0,3.0,0.7741935483870968,Wednesday,January,0.0,0.20270270270270271,18149.0,18627.0,18978.0
1993-01-29 00:00:00,19023.0,0.0,4.0,0.6571428571428571,Friday,January,1.0,0.6913580246913579,19023.0,19023.0,18055.0
1993-01-30 00:00:00,19006.0,0.0,1.0,0.1875,Saturday,January,0.0,0.20270270270270271,18503.0,18701.0,18978.0
1993-01-30 00:00:00,19023.0,0.0,5.0,0.7878787878787878,Saturday,January,0.0,0.6913580246913579,19023.0,19023.0,18055.0
1993-01-30 00:00:00,19911.0,0.0,3.0,0.6857142857142857,Saturday,January,0.0,0.6547619047619048,19911.0,18306.0,18306.0
1993-02-03 00:00:00,19911.0,0.0,3.0,0.6756756756756757,Wednesday,February,0.0,0.6547619047619048,19911.0,18700.0,18306.0
1993-02-03 00:00:00,19023.0,0.0,4.0,0.7714285714285715,Wednesday,February,0.0,0.6913580246913579,19023.0,19023.0,18055.0
1993-02-05 00:00:00,19023.0,0.0,4.0,0.7777777777777778,Friday,February,0.0,0.6913580246913579,19023.0,19023.0,18055.0
1993-02-07 00:00:00,19023.0,0.0,4.0,0.7837837837837838,Sunday,February,0.0,0.6913580246913579,19023.0,18421.0,18055.0
1993-02-08 00:00:00,19911.0,0.0,3.0,0.6666666666666666,Monday,February,0.0,0.6547619047619048,19911.0,19911.0,18306.0
1993-02-10 00:00:00,19023.0,0.0,4.0,0.7894736842105263,Wednesday,February,0.0,0.6913580246913579,19023.0,18538.0,18055.0
1993-02-10 00:00:00,18289.0,0.0,2.0,0.21621621621621626,Wednesday,February,0.0,0.20270270270270271,19006.0,18716.0,18978.0
1993-02-13 00:00:00,19911.0,0.0,3.0,0.6585365853658537,Saturday,February,0.0,0.6547619047619048,19911.0,19911.0,18306.0
1993-02-13 00:00:00,19006.0,0.0,2.0,0.2307692307692308,Saturday,February,0.0,0.20270270270270271,18289.0,18347.0,18978.0
1993-02-15 00:00:00,18493.0,0.0,3.0,0.6666666666666666,Monday,February,0.0,0.20270270270270271,19006.0,15771.0,18978.0
1993-02-16 00:00:00,19023.0,0.0,5.0,0.8,Tuesday,February,0.0,0.6913580246913579,19023.0,16689.0,18055.0
1993-02-18 00:00:00,17813.0,0.0,1.0,0.3478260869565217,Thursday,February,0.0,0.20270270270270271,18493.0,16002.0,18978.0
1993-02-18 00:00:00,19023.0,0.0,5.0,0.8048780487804879,Thursday,February,0.0,0.6913580246913579,19023.0,16592.0,18055.0
1993-02-23 00:00:00,19911.0,0.0,2.0,0.6444444444444445,Tuesday,February,1.0,0.6547619047619048,19911.0,19911.0,18306.0
1993-02-26 00:00:00,18011.0,0.0,2.0,0.2558139534883721,Friday,February,0.0,0.20270270270270271,17813.0,16181.0,18978.0
1993-02-26 00:00:00,19023.0,0.0,1.0,0.6170212765957447,Friday,February,0.0,0.6913580246913579,19023.0,15945.0,18055.0
1993-02-27 00:00:00,19911.0,0.0,1.0,0.6041666666666666,Saturday,February,0.0,0.6547619047619048,19911.0,19911.0,18306.0
1993-02-28 00:00:00,19023.0,0.0,3.0,0.7777777777777778,Sunday,February,0.0,0.6913580246913579,19023.0,18508.0,18055.0
1993-03-01 00:00:00,19911.0,0.0,0.0,0.5918367346938775,Monday,March,0.0,0.6547619047619048,19911.0,19911.0,18306.0
1993-03-03 00:00:00,19023.0,0.0,2.0,0.7659574468085106,Wednesday,March,0.0,0.6913580246913579,19023.0,15756.0,18055.0
1993-03-04 00:00:00,17854.0,0.0,1.0,0.2391304347826087,Thursday,March,0.0,0.20270270270270271,18011.0,18132.0,18978.0
1993-03-05 00:00:00,19023.0,0.0,1.0,0.3333333333333333,Friday,March,0.0,0.6913580246913579,19023.0,15085.0,18055.0
1993-03-06 00:00:00,18844.0,0.0,2.0,0.6274509803921569,Saturday,March,0.0,0.20270270270270271,17854.0,17179.0,18978.0
1993-03-08 00:00:00,17832.0,0.0,2.0,0.30612244897959184,Monday,March,0.0,0.20270270270270271,18844.0,17197.0,18978.0
1993-03-09 00:00:00,19911.0,0.0,2.0,0.5849056603773585,Tuesday,March,0.0,0.6547619047619048,19911.0,19911.0,18306.0
1993-03-10 00:00:00,19023.0,0.0,5.0,0.7843137254901961,Wednesday,March,0.0,0.6913580246913579,19023.0,15539.0,18055.0
1993-03-12 00:00:00,19023.0,0.0,5.0,0.7884615384615384,Friday,March,0.0,0.6913580246913579,19023.0,17108.0,18055.0
1993-03-14 00:00:00,18101.0,0.0,0.0,0.2307692307692308,Sunday,March,0.0,0.20270270270270271,17832.0,16221.0,18978.0
1993-03-16 00:00:00,17818.0,0.0,1.0,0.2452830188679245,Tuesday,March,0.0,0.20270270270270271,18101.0,20196.0,18978.0
1993-03-17 00:00:00,19911.0,0.0,3.0,0.5892857142857143,Wednesday,March,0.0,0.6547619047619048,19911.0,19911.0,18306.0
1993-03-17 00:00:00,19023.0,0.0,2.0,0.6037735849056604,Wednesday,March,0.0,0.6913580246913579,19023.0,18221.0,18055.0
1993-03-19 00:00:00,19023.0,0.0,5.0,0.7962962962962963,Friday,March,0.0,0.6913580246913579,19023.0,18422.0,18055.0
1993-03-21 00:00:00,19023.0,0.0,4.0,0.7818181818181819,Sunday,March,0.0,0.6913580246913579,19023.0,18422.0,18055.0
1993-03-21 00:00:00,19006.0,0.0,1.0,0.23214285714285715,Sunday,March,0.0,0.20270270270270271,17818.0,19356.0,18978.0
1993-03-23 00:00:00,19023.0,0.0,4.0,0.7857142857142857,Tuesday,March,0.0,0.6913580246913579,19023.0,18422.0,18055.0
1993-03-23 00:00:00,19911.0,0.0,3.0,0.576271186440678,Tuesday,March,0.0,0.6547619047619048,19911.0,19911.0,18306.0
1993-03-24 00:00:00,17806.0,0.0,3.0,0.6271186440677966,Wednesday,March,0.0,0.20270270270270271,19006.0,15101.0,18978.0
1993-03-25 00:00:00,19911.0,0.0,3.0,0.5833333333333334,Thursday,March,0.0,0.6547619047619048,19911.0,19911.0,18306.0
1993-03-26 00:00:00,18374.0,0.0,0.0,0.22033898305084745,Friday,March,0.0,0.20270270270270271,17806.0,11708.0,18978.0
1993-03-26 00:00:00,19023.0,0.0,4.0,0.7931034482758621,Friday,March,0.0,0.6913580246913579,19023.0,18422.0,18055.0
1993-03-28 00:00:00,17891.0,0.0,1.0,0.2333333333333333,Sunday,March,0.0,0.20270270270270271,18374.0,18478.0,18978.0
1993-03-29 00:00:00,19911.0,0.0,3.0,0.5806451612903226,Monday,March,0.0,0.6547619047619048,19911.0,19283.0,18306.0
1993-03-31 00:00:00,19911.0,0.0,4.0,0.5873015873015873,Wednesday,March,0.0,0.6547619047619048,19911.0,19911.0,18306.0
1993-04-06 00:00:00,19023.0,0.0,5.0,0.8095238095238095,Tuesday,April,0.0,0.6913580246913579,19023.0,18422.0,18055.0
1993-04-07 00:00:00,17815.0,0.0,2.0,0.24615384615384614,Wednesday,April,0.0,0.20270270270270271,17891.0,18225.0,18978.0
1993-04-08 00:00:00,19911.0,0.0,2.0,0.5757575757575758,Thursday,April,1.0,0.6547619047619048,19911.0,19911.0,18306.0
1993-04-09 00:00:00,19006.0,0.0,3.0,0.5,Friday,April,0.0,0.20270270270270271,17815.0,16668.0,18978.0
1993-04-09 00:00:00,19023.0,0.0,5.0,0.8153846153846154,Friday,April,0.0,0.6913580246913579,19023.0,18422.0,18055.0
1993-04-11 00:00:00,19023.0,0.0,2.0,0.5671641791044776,Sunday,April,0.0,0.6913580246913579,19023.0,18422.0,18055.0
