,Attendance,Time,Home,Playoffs?,Last Five,Curr Win %,Day of Week,Month,Rivalry?,LS Win %,V Pop,H Pop,Year,Hour,Capacity
13171,18112.0,2004-01-28 22:30:00,Golden State Warriors,0,4.0,0.7179487179487181,Wednesday,January,0,0.6351351351351351,2,3,2004,1350,20252.0
13172,11227.0,2004-01-29 19:30:00,Atlanta Hawks,0,4.0,0.4615384615384616,Thursday,January,0,0.4929577464788733,2,5,2004,1170,19635.0
13173,17669.0,2004-01-29 21:30:00,San Antonio Spurs,0,2.0,0.6046511627906976,Thursday,January,0,0.7173913043478259,7,4,2004,1290,19034.0
13174,19555.0,2004-01-30 19:00:00,Toronto Raptors,0,1.0,0.4358974358974359,Friday,January,0,0.3333333333333333,3,5,2004,1140,20116.0
13175,14125.0,2004-01-30 19:00:00,Washington Wizards,0,2.0,0.3333333333333333,Friday,January,0,0.4657534246575342,13,3,2004,1140,20173.0
13176,18624.0,2004-01-30 19:30:00,Boston Celtics,0,2.0,0.4418604651162791,Friday,January,1,0.5569620253164557,4,9,2004,1170,18624.0
13177,14346.0,2004-01-30 19:30:00,Miami Heat,0,3.0,0.3863636363636364,Friday,January,0,0.3380281690140845,1,2,2004,1170,20291.0
13178,13203.0,2004-01-30 20:00:00,Memphis Grizzlies,0,3.0,0.5238095238095238,Friday,January,0,0.6486486486486487,4,3,2004,1200,19351.0
13179,18717.0,2004-01-30 21:30:00,Milwaukee Bucks,0,4.0,0.6153846153846154,Friday,January,0,0.4861111111111111,2,2,2004,1290,18717.0
13180,18997.0,2004-01-30 22:30:00,Los Angeles Lakers,0,4.0,0.725,Friday,January,0,0.7209302325581395,2,5,2004,1350,18997.0
13181,18413.0,2004-01-30 22:30:00,Golden State Warriors,0,4.0,0.4634146341463415,Friday,January,0,0.6351351351351351,17,3,2004,1350,20252.0
13182,20463.0,2004-01-31 13:00:00,Dallas Mavericks,0,3.0,0.5777777777777777,Saturday,January,0,0.7173913043478259,4,5,2004,780,20677.0
13183,9317.0,2004-01-31 19:00:00,Atlanta Hawks,0,4.0,0.6,Saturday,January,0,0.4929577464788733,2,5,2004,1140,19635.0
13184,14402.0,2004-01-31 19:00:00,Orlando Magic,0,2.0,0.3023255813953488,Saturday,January,0,0.4810126582278481,1,19,2004,1140,17283.0
13185,22076.0,2004-01-31 19:30:00,Detroit Pistons,0,2.0,0.55,Saturday,January,0,0.569620253164557,3,3,2004,1170,22076.0
