Time,Curr Win %,Capacity,Home,Visitor,Playoffs?,Last Five,Day of Week,Month,Attendance
1999-03-21 00:00:00,0.2380952380952381,18624.0,Boston Celtics,Chicago Bulls,0.0,2.0,Sunday,March,18624.0
1999-03-23 00:00:00,0.7826086956521741,19911.0,Utah Jazz,Miami Heat,0.0,3.0,Tuesday,March,19911.0
1999-03-23 00:00:00,0.4705882352941176,23079.0,Chicago Bulls,Toronto Raptors,0.0,5.0,Tuesday,March,22236.0
1999-03-23 00:00:00,0.5,20562.0,Cleveland Cavaliers,Boston Celtics,0.0,4.0,Tuesday,March,15810.0
1999-03-23 00:00:00,0.8181818181818182,20735.0,Portland Trail Blazers,Golden State Warriors,0.0,4.0,Tuesday,March,18731.0
1999-03-24 00:00:00,0.5,18624.0,Boston Celtics,Minnesota Timberwolves,0.0,2.0,Wednesday,March,18128.0
1999-03-25 00:00:00,0.8260869565217391,20735.0,Portland Trail Blazers,Phoenix Suns,0.0,5.0,Thursday,March,20328.0
1999-03-26 00:00:00,0.5217391304347826,19006.0,Minnesota Timberwolves,Miami Heat,0.0,3.0,Friday,March,19006.0
1999-03-26 00:00:00,0.4230769230769231,19023.0,Phoenix Suns,New York Knicks,0.0,1.0,Friday,March,19023.0
1999-03-26 00:00:00,0.5416666666666666,20930.0,Philadelphia 76ers,Boston Celtics,0.0,2.0,Friday,March,20627.0
1999-03-28 00:00:00,0.8333333333333334,19023.0,Phoenix Suns,Portland Trail Blazers,0.0,5.0,Sunday,March,19023.0
1999-03-28 00:00:00,0.5,19006.0,Minnesota Timberwolves,Milwaukee Bucks,0.0,3.0,Sunday,March,18449.0
1999-03-28 00:00:00,0.6666666666666666,18624.0,Boston Celtics,Indiana Pacers,0.0,4.0,Sunday,March,18624.0
1999-03-30 00:00:00,0.52,19006.0,Minnesota Timberwolves,Dallas Mavericks,0.0,3.0,Tuesday,March,15609.0
1999-03-30 00:00:00,0.5,23079.0,Chicago Bulls,Philadelphia 76ers,0.0,1.0,Tuesday,March,22209.0
1999-03-30 00:00:00,0.5238095238095238,20562.0,Cleveland Cavaliers,Toronto Raptors,0.0,4.0,Tuesday,March,14209.0
1999-03-31 00:00:00,0.6071428571428571,18624.0,Boston Celtics,Detroit Pistons,0.0,4.0,Wednesday,March,16915.0
1999-03-31 00:00:00,0.3703703703703704,20674.0,Washington Wizards,Orlando Magic,0.0,2.0,Wednesday,March,20674.0
1999-03-31 00:00:00,0.42857142857142855,19023.0,Phoenix Suns,Golden State Warriors,0.0,2.0,Wednesday,March,18674.0
1999-03-31 00:00:00,0.3928571428571429,20735.0,Portland Trail Blazers,Sacramento Kings,0.0,3.0,Wednesday,March,18468.0
1999-04-01 00:00:00,0.76,19911.0,Utah Jazz,Houston Rockets,0.0,2.0,Thursday,April,19911.0
1999-04-02 00:00:00,0.5,20930.0,Philadelphia 76ers,Cleveland Cavaliers,0.0,1.0,Friday,April,18126.0
1999-04-02 00:00:00,0.5769230769230769,18624.0,Boston Celtics,Milwaukee Bucks,0.0,4.0,Friday,April,18128.0
