Time,V Pop,H Pop,Last Attendance vs Opp,Visitor,Playoffs?,Last Five,Day of Week,Month,Rivalry?,Attendance
2004-01-17 20:30:00,4.0,17.0,18498.0,New York Knicks,0.0,3.0,Saturday,January,1.0,22202.0
2004-01-17 21:00:00,2.0,4.0,12616.0,Cleveland Cavaliers,0.0,3.0,Saturday,January,0.0,19622.0
2004-01-17 22:00:00,5.0,2.0,19011.0,Dallas Mavericks,0.0,1.0,Saturday,January,0.0,19018.0
2004-01-17 22:30:00,1.0,5.0,18997.0,Los Angeles Clippers,0.0,4.0,Saturday,January,1.0,18997.0
2004-01-18 12:30:00,4.0,9.0,18624.0,San Antonio Spurs,0.0,2.0,Sunday,January,0.0,18624.0
2004-01-18 20:00:00,2.0,13.0,18422.0,Portland Trail Blazers,0.0,0.0,Sunday,January,0.0,15131.0
2004-01-18 21:00:00,2.0,4.0,17757.0,Miami Heat,0.0,1.0,Sunday,January,0.0,17635.0
2004-01-19 13:00:00,17.0,3.0,13422.0,Chicago Bulls,0.0,2.0,Monday,January,0.0,15407.0
2004-01-19 14:00:00,4.0,5.0,14931.0,Indiana Pacers,0.0,4.0,Monday,January,0.0,19635.0
2004-01-19 15:30:00,7.0,1.0,11485.0,Sacramento Kings,0.0,5.0,Monday,January,0.0,17325.0
2004-01-19 22:30:00,13.0,5.0,18997.0,Phoenix Suns,0.0,4.0,Monday,January,0.0,18312.0
2004-01-20 19:00:00,3.0,4.0,15879.0,Detroit Pistons,0.0,4.0,Tuesday,January,0.0,15848.0
2004-01-20 19:30:00,9.0,2.0,20021.0,Boston Celtics,0.0,1.0,Tuesday,January,0.0,14327.0
2004-01-20 21:00:00,4.0,4.0,12616.0,Denver Nuggets,0.0,2.0,Tuesday,January,0.0,19385.0
2004-01-21 19:00:00,2.0,5.0,19800.0,Minnesota Timberwolves,0.0,1.0,Wednesday,January,0.0,18846.0
2004-01-21 19:30:00,17.0,5.0,9608.0,Chicago Bulls,0.0,0.0,Wednesday,January,0.0,10568.0
2004-01-21 21:00:00,13.0,4.0,19739.0,Phoenix Suns,0.0,4.0,Wednesday,January,0.0,15652.0
2004-01-21 21:00:00,4.0,8.0,16611.0,New York Knicks,0.0,3.0,Wednesday,January,0.0,14976.0
2004-01-21 22:30:00,3.0,1.0,10260.0,Golden State Warriors,0.0,2.0,Wednesday,January,0.0,13316.0
2004-01-22 19:00:00,7.0,2.0,19432.0,Sacramento Kings,0.0,4.0,Thursday,January,0.0,17720.0
2004-01-22 21:30:00,5.0,5.0,17502.0,Los Angeles Lakers,0.0,1.0,Thursday,January,0.0,20512.0
2004-01-23 19:00:00,19.0,8.0,20284.0,Orlando Magic,0.0,1.0,Friday,January,0.0,20272.0
2004-01-23 19:30:00,3.0,9.0,18624.0,Washington Wizards,0.0,2.0,Friday,January,0.0,16386.0
2004-01-23 19:30:00,4.0,5.0,14983.0,New York Knicks,0.0,4.0,Friday,January,0.0,16469.0
2004-01-23 20:00:00,8.0,4.0,10334.0,Houston Rockets,0.0,4.0,Friday,January,0.0,18345.0
2004-01-23 20:00:00,3.0,2.0,14117.0,Detroit Pistons,0.0,4.0,Friday,January,0.0,19006.0
2004-01-23 20:30:00,5.0,17.0,18676.0,Dallas Mavericks,0.0,5.0,Friday,January,0.0,18761.0
2004-01-23 22:30:00,4.0,1.0,15800.0,Utah Jazz,0.0,1.0,Friday,January,0.0,15675.0
2004-01-23 22:30:00,4.0,13.0,18301.0,San Antonio Spurs,0.0,2.0,Friday,January,1.0,17799.0
2004-01-24 15:30:00,3.0,2.0,15531.0,Golden State Warriors,0.0,1.0,Saturday,January,0.0,14325.0
2004-01-24 19:00:00,4.0,3.0,18173.0,Indiana Pacers,0.0,2.0,Saturday,January,0.0,14305.0
2004-01-24 19:30:00,8.0,2.0,0.0,Philadelphia 76ers,0.0,1.0,Saturday,January,0.0,20562.0
2004-01-24 21:00:00,5.0,4.0,12616.0,Los Angeles Lakers,0.0,0.0,Saturday,January,0.0,19911.0
2004-01-25 13:00:00,7.0,5.0,17502.0,Sacramento Kings,0.0,2.0,Sunday,January,0.0,20284.0
2004-01-25 15:30:00,13.0,2.0,14979.0,Phoenix Suns,0.0,2.0,Sunday,January,0.0,16002.0
2004-01-25 15:30:00,5.0,17.0,18676.0,Toronto Raptors,0.0,0.0,Sunday,January,0.0,22039.0
2004-01-26 19:00:00,19.0,2.0,16369.0,Orlando Magic,0.0,2.0,Monday,January,0.0,14382.0
2004-01-26 19:00:00,2.0,3.0,20356.0,Portland Trail Blazers,0.0,2.0,Monday,January,0.0,14236.0
2004-01-26 19:30:00,8.0,2.0,20063.0,Houston Rockets,0.0,3.0,Monday,January,0.0,14523.0
2004-01-26 21:00:00,2.0,4.0,19812.0,Minnesota Timberwolves,0.0,4.0,Monday,January,0.0,15320.0
2004-01-26 21:00:00,1.0,4.0,12616.0,Los Angeles Clippers,0.0,1.0,Monday,January,0.0,18592.0
2004-01-27 19:30:00,13.0,5.0,7216.0,Phoenix Suns,0.0,2.0,Tuesday,January,0.0,11179.0
2004-01-27 22:30:00,17.0,1.0,9921.0,Chicago Bulls,0.0,3.0,Tuesday,January,0.0,15298.0
2004-01-28 19:00:00,3.0,9.0,18624.0,Detroit Pistons,0.0,2.0,Wednesday,January,1.0,14042.0
2004-01-28 19:00:00,2.0,2.0,11522.0,Miami Heat,0.0,2.0,Wednesday,January,0.0,14433.0
