,$R^2$,Explained Variance Score,Mean Absolute Error,Root Mean Square Error,Mean Absolute Percent Error
Dataset 2 Subset 1 Ridge with Standardized Features TimeSeriesSplit,0.40147538119982595,0.4015658698602541,1159.6075879081675,1548.3857762483253,6.871142440798963
Dataset 2 Subset 1 Lasso TimeSeriesSplit,0.24443141288720238,0.29910499531614587,1498.0812829352367,1739.7029931879342,8.76722925701277
Dataset 2 Subset 1 Lasso with Standardized Features TimeSeriesSplit,0.40147538119982595,0.4015658698602541,1159.6075879081675,1548.3857762483253,6.871142440798963
Dataset 2 Subset 1 Elastic Net TimeSeriesSplit,0.2456015936778183,0.30901666864534616,1152.2954659664308,1738.3552956465257,7.2877187222790045
Dataset 2 Subset 1 Elastic Net with Standardized Features TimeSeriesSplit,0.452935254673025,0.4868209954927518,1048.7819408483929,1480.3265485212057,6.3598585716668525
Dataset 2 Subset 1 Huber TimeSeriesSplit,0.2333299470758169,0.30987599722870474,1522.4610443717618,1752.436997958535,8.881349189408413
Dataset 2 Subset 1 Huber with Standardized Features TimeSeriesSplit,0.42302596419459204,0.42306333583111455,1161.7486873666019,1520.2545042791955,6.816893474191126
Dataset 2 Subset 2 OLS,-3501207675612.6406,-3334033287127.2773,818320557.1552559,3744959279.0439806,4843139.801278562
Dataset 2 Subset 2 OLS with Standardized Features,-1.306774233869901e+17,-1.3008125446643374e+17,141872741911.5277,723499849598.4491,822758066.0013877
Dataset 2 Subset 2 Ridge,0.559156556827599,0.5627177342586834,996.5366806922344,1328.8634507078013,5.836415903643399
Dataset 2 Subset 2 Ridge with Standardized Features,0.5401841004679317,0.5442870774802759,1001.7856650971628,1357.1572026990339,5.849572697108038
Dataset 2 Subset 2 Lasso,0.4438891772016488,0.4443760264131459,990.9343948065514,1492.5154565918453,5.984841730962186
Dataset 2 Subset 2 Lasso with Standardized Features,0.5411036519040632,0.5468259867858959,972.4982814556176,1355.799484953597,5.72522265175399
Dataset 2 Subset 2 Elastic Net,0.4438891772016488,0.4443760264131459,990.9343948065514,1492.5154565918453,5.984841730962186
Dataset 2 Subset 2 Elastic Net with Standardized Features,0.5411036519040632,0.5468259867858959,972.4982814556176,1355.799484953597,5.72522265175399
Dataset 2 Subset 2 Huber,0.33414191460128717,0.33414619952461166,914.4732994948731,1633.1610084405643,5.609255963400391
Dataset 2 Subset 2 Huber with Standardized Features,0.49761351106483276,0.4980125763821547,904.5518953864748,1418.5908011337547,5.437644873028975
Dataset 2 Subset 2 LinearSVR,0.32330248472309076,0.3269235853247414,994.0033227091884,1646.400368840466,5.995007002387426
Dataset 2 Subset 2 LinearSVR with Standardized Features,0.5412020821880899,0.5473178211670693,1001.1725868108571,1355.654072066961,5.8391104382402
Dataset 2 Subset 2 Ridge TimeSeriesSplit,0.4438891772016488,0.4443760264131459,990.9343948065514,1492.5154565918453,5.984841730962186
Dataset 2 Subset 2 Ridge with Standardized Features TimeSeriesSplit,0.5411036519040632,0.5468259867858959,972.4982814556176,1355.799484953597,5.72522265175399
Dataset 2 Subset 2 Lasso TimeSeriesSplit,0.4438891772016488,0.4443760264131459,990.9343948065514,1492.5154565918453,5.984841730962186
Dataset 2 Subset 2 Lasso with Standardized Features TimeSeriesSplit,0.5411036519040632,0.5468259867858959,972.4982814556176,1355.799484953597,5.72522265175399
